date,close,high,low,open,volume,weightedAverage
2015-02-17 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.01991999,9.99999666
2015-02-18 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-19 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-20 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-21 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-22 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-23 08:00:00,9.99999666,9.99999666,9.99999666,9.99999666,0.0,9.99999666
2015-02-24 08:00:00,2.89999666,2.89999666,2.89999666,2.89999666,0.02232417,2.89999666
2015-02-25 08:00:00,2.89999666,2.89999666,2.89999666,2.89999666,0.0,2.89999666
2015-02-26 08:00:00,2.89999666,2.89999666,2.89999666,2.89999666,0.0,2.89999666
2015-02-27 08:00:00,3.68,3.68,3.68,3.68,0.00147108,3.68
2015-02-28 08:00:00,3.68,3.68,3.68,3.68,0.0,3.68
2015-03-01 08:00:00,3.68,3.68,3.68,3.68,0.0,3.68
2015-03-02 08:00:00,3.68,3.68,3.68,3.68,0.0,3.68
2015-03-03 08:00:00,3.5,3.5,3.5,3.5,1.74957489,3.5
2015-03-04 08:00:00,3.5,3.5,3.5,3.5,0.12259026,3.5
2015-03-05 08:00:00,3.5,3.5,3.5,3.5,0.09392348,3.5
2015-03-06 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-07 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-08 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-09 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-10 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-11 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-12 08:00:00,3.5,3.5,3.5,3.5,0.0,3.5
2015-03-13 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.00099999,3.99999999
2015-03-14 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-15 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-16 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-17 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-18 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.04299199,3.99999999
2015-03-19 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-20 08:00:00,3.99999999,3.99999999,3.99999999,3.99999999,0.0,3.99999999
2015-03-21 08:00:00,4.00000001,4.00000002,3.9999966,3.9999966,5.0428985,3.99999865
2015-03-22 08:00:00,5.98999999,5.98999999,5.98999999,5.98999999,0.01009973,5.98999999
2015-03-23 08:00:00,5.98999999,5.98999999,5.98999999,5.98999999,0.0,5.98999999
2015-03-24 08:00:00,5.98999999,5.98999999,5.98999999,5.98999999,0.0,5.98999999
