date,close,high,low,open,volume,weightedAverage
2015-03-07 08:00:00,0.045,0.045,0.045,0.045,0.00029522,0.045
2015-03-08 08:00:00,0.045,0.045,0.045,0.045,0.0,0.045
2015-03-09 08:00:00,0.045,0.045,0.045,0.045,0.0,0.045
2015-03-10 08:00:00,0.960001,0.960001,0.960001,0.960001,0.00689226,0.960001
2015-03-11 08:00:00,0.960001,0.960001,0.960001,0.960001,0.05893476,0.960001
2015-03-12 08:00:00,0.960001,0.960001,0.960001,0.960001,0.0,0.960001
2015-03-13 08:00:00,2.64999,2.64999,2.64999,2.64999,0.001,2.64999
2015-03-14 08:00:00,1.01200022,1.01200022,1.01200001,1.01200001,0.00623773,1.01200004
2015-03-15 08:00:00,1.87000001,2.6499999,1.01200023,2.649999,0.30000682,1.84104102
2015-03-16 08:00:00,1.87000001,1.87000001,1.87000001,1.87000001,0.0,1.87000001
2015-03-17 08:00:00,2.6499999,2.6499999,2.6499999,2.6499999,0.01435563,2.6499999
2015-03-18 08:00:00,2.6499999,2.6499999,2.6499999,2.6499999,0.0,2.6499999
2015-03-19 08:00:00,2.6499999,2.6499999,2.6499999,2.6499999,0.0,2.6499999
2015-03-20 08:00:00,2.6499999,2.6499999,2.6499999,2.6499999,0.0,2.6499999
2015-03-21 08:00:00,1.01200011,2.5,1.01200011,2.5,0.02165256,1.04230044
2015-03-22 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-23 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-24 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-25 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-26 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-27 08:00:00,1.01200011,1.01200011,1.01200011,1.01200011,0.0,1.01200011
2015-03-28 08:00:00,1.71299911,1.71299911,1.01200011,1.01200011,0.0426894,1.07587702
2015-03-29 08:00:00,1.71299911,1.71299911,1.71299911,1.71299911,0.0,1.71299911
2015-03-30 08:00:00,1.01200013,1.01200013,1.01200013,1.01200013,0.00650546,1.01200013
2015-03-31 08:00:00,1.03,2.5,1.02000001,1.71299911,12.0479454,2.22564044
2015-04-01 08:00:00,2.5,2.5,1.03,1.03,0.12000175,2.3302673
2015-04-02 08:00:00,2.23,2.23,2.23,2.23,0.05007911,2.23
2015-04-03 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-04 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-05 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-06 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-07 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-08 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-09 08:00:00,2.23,2.23,2.23,2.23,0.0,2.23
2015-04-10 08:00:00,2.28999999,2.28999999,2.28999999,2.28999999,2.28999999,2.28999999
2015-04-11 08:00:00,2.28999999,2.28999999,2.28999999,2.28999999,0.0,2.28999999
2015-04-12 08:00:00,1.03000002,1.03000002,1.03000002,1.03000002,0.06533269,1.03000002
2015-04-13 08:00:00,1.03000002,1.03000002,1.03000002,1.03000002,2.53380003,1.03000002
2015-04-14 08:00:00,1.39937229,1.39937229,1.29441365,1.29441365,11.73986482,1.39914752
2015-04-15 08:00:00,1.40207699,1.40207699,1.31661437,1.35002197,20.76739964,1.35581958
2015-04-16 08:00:00,1.34829883,1.34829883,1.34829883,1.34829883,0.02513169,1.34829883
2015-04-17 08:00:00,1.35594674,1.46145708,1.35594674,1.46145708,1.46437526,1.46123049
2015-04-18 08:00:00,1.43891154,1.43891154,1.42,1.42,1.45751728,1.43866695
2015-04-19 08:00:00,1.3561504,1.3561504,1.3561504,1.3561504,0.01405876,1.3561504
2015-04-20 08:00:00,1.44211361,1.44787855,1.4229012,1.4229012,1.62413314,1.42561366
2015-04-21 08:00:00,1.36471228,1.36471228,1.36359208,1.36359208,0.07576186,1.36382498
2015-04-22 08:00:00,1.51140556,1.51140556,1.41364372,1.41364372,0.12099047,1.48974994
2015-04-23 08:00:00,1.41486135,1.41486135,1.41486135,1.41486135,0.01414861,1.41486135
2015-04-24 08:00:00,1.37731416,1.37731416,1.37731416,1.37731416,0.00697305,1.37731416
2015-04-25 08:00:00,1.3646758,1.3646758,1.3646758,1.3646758,0.01944986,1.3646758
2015-04-26 08:00:00,1.30241766,1.30241766,1.30241766,1.30241766,0.02409472,1.30241766
2015-04-27 08:00:00,1.29248922,1.29248922,1.29248922,1.29248922,0.00883991,1.29248922
2015-04-28 08:00:00,1.32497981,1.32497981,1.32497981,1.32497981,0.00267041,1.32497981
2015-04-29 08:00:00,1.4069207,1.4069207,1.32296367,1.32296367,0.10728418,1.36360916
2015-04-30 08:00:00,1.4837518,1.4867709,1.4837518,1.4837518,72.05723171,1.48672682
2015-05-01 08:00:00,1.45455048,1.4837518,1.45455048,1.4837518,0.00069038,1.46400931
2015-05-02 08:00:00,1.45455048,1.45455048,1.45455048,1.45455048,0.0,1.45455048
2015-05-03 08:00:00,1.45455048,1.45455048,1.45455048,1.45455048,0.0,1.45455048
2015-05-04 08:00:00,1.47519147,1.47519147,1.47519147,1.47519147,0.01131398,1.47519147
2015-05-05 08:00:00,1.35250331,1.36624828,1.35250331,1.36624828,0.51134797,1.36420635
2015-05-06 08:00:00,1.45250913,1.45250913,1.44980279,1.44980279,0.18030012,1.45250295
2015-05-07 08:00:00,1.42151787,1.42151787,1.0120001,1.03000002,7.02156403,1.0146109
2015-05-08 08:00:00,1.48951843,1.49534507,1.39579199,1.49534507,38.74318396,1.49310096
2015-05-09 08:00:00,1.48951843,1.48951843,1.48951843,1.48951843,0.0,1.48951843
2015-05-10 08:00:00,1.48951843,1.48951843,1.48951843,1.48951843,0.0,1.48951843
2015-05-11 08:00:00,1.48951843,1.48951843,1.48951843,1.48951843,0.0,1.48951843
2015-05-12 08:00:00,1.48951843,1.48951843,1.48951843,1.48951843,0.0,1.48951843
2015-05-13 08:00:00,1.48951843,1.48951843,1.48951843,1.48951843,0.0,1.48951843
2015-05-14 08:00:00,1.51067128,1.51279188,1.37506637,1.3929129,69.893588,1.39326224
2015-05-15 08:00:00,1.45191759,1.5033923,1.37695942,1.37695942,17.11456581,1.47512221
2015-05-16 08:00:00,1.50905498,1.51222049,1.50624703,1.50624703,2.21479425,1.51114341
2015-05-17 08:00:00,1.50852938,1.50970673,1.38238725,1.38238725,1.36229997,1.50855148
2015-05-18 08:00:00,1.38543115,1.38543115,1.38543115,1.38543115,0.01598363,1.38543115
2015-05-19 08:00:00,1.47,1.51071428,1.37452746,1.37452746,12.55221859,1.43513709
2015-05-20 08:00:00,1.523028,1.523028,1.405872,1.405872,2.79551197,1.51667199
2015-05-21 08:00:00,1.41858371,1.41858371,1.41858371,1.41858371,0.00177322,1.41858371
2015-05-22 08:00:00,1.66674324,1.66674324,1.52,1.52,6.45591114,1.65274797
2015-05-23 08:00:00,1.66674324,1.66674324,1.66674324,1.66674324,0.0,1.66674324
2015-05-24 08:00:00,1.72685636,1.84736848,1.68926706,1.68926706,4.72654759,1.81163188
2015-05-25 08:00:00,1.75553377,1.91421879,1.75553377,1.76248021,0.06032431,1.78531302
2015-05-26 08:00:00,1.70174083,1.89227994,1.70174083,1.89227994,5.95950836,1.84365778
2015-05-27 08:00:00,1.70174083,1.70174083,1.70174083,1.70174083,0.0,1.70174083
2015-05-28 08:00:00,1.70174083,1.70174083,1.70174083,1.70174083,0.0,1.70174083
2015-05-29 08:00:00,1.70174083,1.70174083,1.70174083,1.70174083,0.0,1.70174083
2015-05-30 08:00:00,1.70174083,1.70174083,1.70174083,1.70174083,0.0,1.70174083
2015-05-31 08:00:00,1.70174083,1.70174083,1.70174083,1.70174083,0.0,1.70174083
2015-06-01 08:00:00,2.2,2.2,2.2,2.2,0.0055,2.2
2015-06-02 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-03 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-04 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-05 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-06 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-07 08:00:00,2.2,2.2,1.0120001,1.0120001,0.22774601,2.11553376
2015-06-08 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-09 08:00:00,2.2,2.2,2.2,2.2,0.0,2.2
2015-06-10 08:00:00,1.0120001,1.0120001,1.0120001,1.0120001,0.00149408,1.0120001
