date,close,high,low,open,volume,weightedAverage
2014-05-20 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-21 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-24 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-26 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-27 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-28 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-29 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-30 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-31 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-07 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-08 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-16 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-17 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-18 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-19 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-20 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-21 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-22 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-24 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-25 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-26 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-27 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-28 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-29 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-06 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-07 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-08 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-09 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-10 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-11 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-13 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-14 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-15 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-16 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-17 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-18 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-20 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-21 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-22 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-23 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-24 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-25 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-27 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-28 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-29 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-30 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-31 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
